身長,性別,名前,上半身比率,下半身比率,骨格タイプ
173,男,松本人志（ダウンタウン）,4.42701325,5.57298675,ストレート
173,男,八乙女光（Hey!Say!JUMP）,4.33318068,5.66681932,ナチュラル
173,男,千葉雄大,3.770424055,6.229575945,ウェーブ
173,男,JIMIN（BTS),3.754243554,6.245756446,ウェーブ
174,男,SUGA（BTS）,4.173209934,5.826790066,ストレート
174,男,髙橋海人（King & Prince）,4.439059454,5.560940546,ナチュラル
174,男,横浜流星,4.117411821,5.882588179,ウェーブ
175,男,丸山隆平（関ジャニ∞）,4.030776697,5.969223303,ストレート
175,男,スングァン（SEVENTEEN）,3.513016269,6.486983731,ストレート
175,男,神宮寺勇太,3.851737839,6.148262161,ナチュラル
175,男,窪田正孝,3.813756925,6.186243075,ナチュラル
175,男,永瀬廉（King & Prince）,4.375265756,5.624734244,ウェーブ
175,男,山下智久,4.411793751,5.588206249,ウェーブ
176,男,菅田将暉,4.782345999,5.217654001,ストレート
176,男,中島健人（SexyZone）,3.794619728,6.205380272,ストレート
176,男,中丸雄一（KAT-TUN）,4.36012375,5.63987625,ナチュラル
176,男,相葉雅紀（嵐）,4.076805333,5.923194667,ナチュラル
176,男,横山裕（関ジャニ∞）,4.121252841,5.878747159,ウェーブ
176,男,木村拓哉,4.108481737,5.891518263,ウェーブ
177,男,松村北斗（SixTONES）,4.165528669,5.834471331,ストレート
177,男,J-HOPE（BTS),3.603281132,6.396718868,ナチュラル
177,男,ホシ（SEVENTEEN）,4.044093668,5.955906332,ウェーブ
178,男,新田真剣佑,4.066713886,5.933286114,ストレート
178,男,JUNG KOOK（BTS),4.179062027,5.820937973,ストレート
178,男,V（BTS),3.55897199,6.44102801,ナチュラル
178,男,菊池風磨（SexyZone）,4.263745303,5.736254697,ナチュラル
178,男,山崎賢人,4.30137689,5.69862311,ウェーブ
178,男,西島秀俊,4.358725905,5.641274095,ウェーブ
178,男,DAIGO,3.840105835,6.159894165,ウェーブ
179,男,堤真一,4.109983957,5.890016043,ストレート
179,男,役所広司,4.186980634,5.813019366,ナチュラル
179,男,JIN（BTS),4.000376298,5.999623702,ウェーブ
180,男,エスクプス（SEVENTEEN）,3.941082048,6.058917952,ストレート
180,男,粗品（霜降り明星）,4.701310814,5.298689186,ナチュラル
180,男,イチロー,4.011688297,5.988311703,ウェーブ
180,男,大倉忠義（関ジャニ∞）,4.27259419,5.72740581,ウェーブ
181,男,RM（BTS),3.877200436,6.122799564,ストレート
181,男,岡田将生,4.033659996,5.966340004,ナチュラル
181,男,福山雅治,4.275447122,5.724552878,ウェーブ
182,男,博多大吉（博多華丸）,4.319669025,5.680330975,ストレート
182,男,,,,
182,男,ウォヌ（SEVENTEEN）,4.333457369,5.666542631,ウェーブ
182,男,向井理,3.872134708,6.127865292,ウェーブ
183,男,香取慎吾,4.360976658,5.639023342,ストレート
183,男,坂口健太郎,4.225655663,5.774344337,ナチュラル
183,男,福士蒼汰,4.208167687,5.791832313,ウェーブ
184,男,ジェシー（SixTONES）,4.069062856,5.930937144,ストレート
184,男,斎藤工,4.146097633,5.853902367,ナチュラル
184,男,,,,
185,男,目黒蓮（SnowMan）,4.81207285,5.18792715,ストレート
185,男,江口洋介,4.250342278,5.749657722,ナチュラル
185,男,竹内涼真,3.839724473,6.160275527,ウェーブ
